image,text
/content/drive/MyDrive/processed_images/textbox_32_line_2_.png,کمرے کل بنے گا، انہیں مفت میں جانے دی گئی
/content/drive/MyDrive/processed_images/textbox_33_line_1_.png,ہوٹل میں کھانا کھلا ہے۔ کھانا اچھا ہے۔ سٹاف کا
/content/drive/MyDrive/processed_images/textbox_33_line_2_.png,لوگ دو ستارے ہیں۔ کمرے صاف اور روشن ہیں۔
/content/drive/MyDrive/processed_images/textbox_34_line_2_.png,ہوٹل کا سٹاف اچھا میں ہے۔ ہمیں بہت انتظار
/content/drive/MyDrive/processed_images/textbox_34_line_3_.png,کروایا۔ میں دوبارہ اس ہوٹل میں نہیں آؤں گا۔
/content/drive/MyDrive/processed_images/textbox_35_line_1_.png,میں نے ہوٹل میں دو کمروں کی بکنگ کروائی
/content/drive/MyDrive/processed_images/textbox_35_line_2_.png,ہوٹل آکر مجھے صرف ایک کمرہ دیا گیا۔
/content/drive/MyDrive/processed_images/textbox_36_line_1_.png,ہوٹل دیکھنے میں بہت خوبصورت ہے۔ ہوٹل کا
/content/drive/MyDrive/processed_images/textbox_36_line_2_.png,احاطہ کافی بڑا ہے۔ ہوٹل کا کھانا لذیذ ہے۔
/content/drive/MyDrive/processed_images/textbox_37_line_1_.png,ہوٹل کا کھانا مزیدار
/content/drive/MyDrive/processed_images/textbox_37_line_2_.png,صحیح تھا۔ ہوٹل کا ماحول خوشگوار تھا۔
/content/drive/MyDrive/processed_images/textbox_38_line_1_.png,ہوٹل کی پارکنگ بہت بڑی ہے۔ ہوٹل کی سیکیورٹی
/content/drive/MyDrive/processed_images/textbox_38_line_2_.png,کا نظام اچھا ہے۔ ہوٹل کا کھانا عمدہ ہے۔
/content/drive/MyDrive/processed_images/urdu_1.png,پاکستان زندہ باد
/content/drive/MyDrive/processed_images/urdu_2.png,آج کا موسم خوشگوار ہے
/content/drive/MyDrive/processed_images/urdu_3.png,تعلیم ہر انسان کا حق ہے
/content/drive/MyDrive/processed_images/urdu_4.png,کراچی پاکستان کا سب سے بڑا شہر ہے
/content/drive/MyDrive/processed_images/urdu_5.png,محنت کامیابی کی کنجی ہے
/content/drive/MyDrive/processed_images/urdu_6.png,اردو ہماری قومی زبان ہے
/content/drive/MyDrive/processed_images/urdu_7.png,ہم روزانہ مطالعہ کرتے ہیں
/content/drive/MyDrive/processed_images/news1_jpg.jpeg,غیر ملکی خبر رساں ادارے 'اے ایف پی' کی رپورٹ کے
/content/drive/MyDrive/processed_images/news10_jpg.jpeg,سرپرستی میں منعقدہ ایک ثقافتی تقریب کے دوران
/content/drive/MyDrive/processed_images/news11_jpg.jpeg,کراچی (نیوز ڈیسک) پاکستان نے اپنی سب سے بڑی فعال چینی
